date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
4/1/2000,ARG,ARS,Argentina,2.5,1,2.5,-0.004,0.05,-0.167,-0.099,1.091,,,,,,,
4/1/2000,AUS,AUD,Australia,2.59,1.68,1.541666667,-0.386,-0.352,-0.486,-0.444,0.289,,,,,,,
4/1/2000,BRA,BRL,Brazil,2.95,1.79,1.648044693,-0.343,-0.308,-0.451,-0.406,0.378,,,,,,,
4/1/2000,CAN,CAD,Canada,2.85,1.47,1.93877551,-0.228,-0.186,-0.354,-0.301,0.622,,,,,,,
4/1/2000,CHE,CHF,Switzerland,5.9,1.7,3.470588235,0.383,0.458,0.156,0.251,1.903,,,,,,,
4/1/2000,CHL,CLP,Chile,1260,514,2.451361868,-0.023,0.03,-0.183,-0.116,1.05,,,,,,,
4/1/2000,CHN,CNY,China,9.9,8.28,1.195652174,-0.524,-0.498,-0.602,-0.569,0,,,,,,,
4/1/2000,CZE,CZK,Czech Republic,54.37,39.1,1.390537084,-0.446,-0.416,-0.537,-0.499,0.163,,,,,,,
4/1/2000,DNK,DKK,Denmark,24.75,8.04,3.078358209,0.226,0.293,0.025,0.11,1.575,,,,,,,
4/1/2000,EUZ,EUR,Euro area,2.56,1.075268817,2.3808,-0.051,0,-0.207,-0.142,0.991,,,,,,,
4/1/2000,GBR,GBP,Britain,1.9,0.632911392,3.002000002,0.196,0.261,0,0.082,1.511,,,,,,,
4/1/2000,HKG,HKD,Hong Kong,10.2,7.79,1.309370988,-0.478,-0.45,-0.564,-0.528,0.095,,,,,,,
4/1/2000,HUN,HUF,Hungary,339,279,1.215053763,-0.516,-0.49,-0.595,-0.562,0.016,,,,,,,
4/1/2000,IDN,IDR,Indonesia,14500,7945,1.825047199,-0.273,-0.233,-0.392,-0.342,0.526,,,,,,,
4/1/2000,ISR,ILS,Israel,14.5,4.05,3.580246914,0.426,0.504,0.193,0.291,1.994,,,,,,,
4/1/2000,JPN,JPY,Japan,294,106,2.773584906,0.105,0.165,-0.076,0,1.32,,,,,,,
4/1/2000,KOR,KRW,South Korea,3000,1108,2.707581227,0.079,0.137,-0.098,-0.024,1.265,,,,,,,
4/1/2000,MEX,MXN,Mexico,20.9,9.41,2.221041445,-0.115,-0.067,-0.26,-0.199,0.858,,,,,,,
4/1/2000,MYS,MYR,Malaysia,4.52,3.8,1.189473684,-0.526,-0.5,-0.604,-0.571,-0.005,,,,,,,
4/1/2000,NZL,NZD,New Zealand,3.4,2.01,1.691542289,-0.326,-0.29,-0.437,-0.39,0.415,,,,,,,
4/1/2000,POL,PLN,Poland,5.5,4.3,1.279069767,-0.49,-0.463,-0.574,-0.539,0.07,,,,,,,
4/1/2000,RUS,RUB,Russia,39.5,28.5,1.385964912,-0.448,-0.418,-0.538,-0.5,0.159,,,,,,,
4/1/2000,SGP,SGD,Singapore,3.2,1.7,1.882352941,-0.25,-0.209,-0.373,-0.321,0.574,,,,,,,
4/1/2000,SWE,SEK,Sweden,24,8.84,2.714932127,0.082,0.14,-0.096,-0.021,1.271,,,,,,,
4/1/2000,THA,THB,Thailand,55,38,1.447368421,-0.423,-0.392,-0.518,-0.478,0.211,,,,,,,
4/1/2000,TWN,TWD,Taiwan,70,30.6,2.287581699,-0.089,-0.039,-0.238,-0.175,0.913,,,,,,,
4/1/2000,USA,USD,United States,2.51,1,2.51,0,0.054,-0.164,-0.095,1.099,,,,,,,
4/1/2000,ZAF,ZAR,South Africa,9,6.72,1.339285714,-0.466,-0.437,-0.554,-0.517,0.12,,,,,,,
4/1/2001,ARG,ARS,Argentina,2.5,1,2.5,-0.016,0.105,-0.121,0.054,1.091,,,,,,,
4/1/2001,AUS,AUD,Australia,3,1.98,1.515151515,-0.403,-0.33,-0.468,-0.361,0.267,,,,,,,
4/1/2001,BRA,BRL,Brazil,3.6,2.19,1.643835616,-0.353,-0.273,-0.422,-0.307,0.375,,,,,,,
4/1/2001,CAN,CAD,Canada,3.33,1.56,2.134615385,-0.16,-0.056,-0.25,-0.1,0.785,,,,,,,
